256,1000,6.219680,6.219680,99.70,997
256,1000,6.004999,6.004999,99.70,997
1,1000,7.470316,7.470316,99.70,997
512,1000,7.263606,7.263606,99.70,997
8,1000,3.409714,3.409714,99.70,997
32,1000,5.060659,5.060659,99.70,997
1,10000,47.780451,4.778045,99.34,9934
32,10000,6.443118,0.644312,99.34,9934
256,10000,6.356271,0.635627,99.34,9934
1024,10000,10.144954,1.014495,99.34,9934
4096,10000,18.591717,1.859172,99.34,9934
1,10000,49.499570,4.949957,99.34,9934
256,10000,6.595538,0.659554,99.34,9934
1,10000,52.722371,5.272237,99.34,9934
32,10000,13.957035,1.395704,99.34,9934
256,10000,14.584606,1.458461,99.34,9934
1024,10000,27.457247,2.745725,99.34,9934
32,10000,15.833216,1.583322,99.34,9934
1,10000,49.276393,4.927639,99.34,9934
32,10000,13.734433,1.373443,99.34,9934
256,10000,14.031864,1.403186,99.34,9934
1024,10000,24.187373,2.418737,99.34,9934
1,10000,52.447672,5.244767,99.34,9934
1,10000,49.622537,4.962254,99.34,9934
32,10000,6.654767,0.665477,99.34,9934
256,10000,6.707321,0.670732,99.34,9934
1024,10000,9.935931,0.993593,99.34,9934
32,10000,7.907206,0.790721,99.34,9934
32,10000,7.353917,0.735392,99.34,9934
32,10000,7.222816,0.722282,99.34,9934
32,10000,7.024564,0.702456,99.34,9934
32,10000,7.063793,0.706379,99.34,9934
32,10000,7.473800,0.747380,99.34,9934
32,10000,7.370814,0.737081,99.34,9934
32,10000,6.857786,0.685779,99.34,9934
32,10000,6.862998,0.686300,99.34,9934
32,10000,6.918246,0.691825,99.34,9934
32,10000,6.600595,0.660060,99.34,9934
32,10000,6.905030,0.690503,99.34,9934
32,10000,6.908617,0.690862,99.34,9934
32,10000,6.896949,0.689695,99.34,9934
