epoch,train_loss,test_acc,elapsed_seconds
1,0.6276012154579163,0.852,3.2940433025360107
2,0.39699235906600955,0.8832,3.385331392288208
3,0.40359959111213684,0.803,2.89359188079834
4,0.3930504901885986,0.861,2.9112799167633057
5,0.34625928189754485,0.8154,3.4095804691314697
6,0.3517558420658112,0.8668,3.8102664947509766
7,0.30613807945251464,0.8292,3.6850647926330566
8,0.27760546464920044,0.8992,3.66037654876709
9,0.27931953794956205,0.8886,3.6399593353271484
10,0.2902873650074005,0.9238,3.4960250854492188
11,0.25988320150375366,0.902,3.1529808044433594
12,0.25251043808460233,0.8974,3.621267080307007
13,0.27723685359954836,0.8982,3.6346683502197266
14,0.2773184488296509,0.8916,3.6246986389160156
15,0.2769437124013901,0.88,3.595567464828491
16,0.29349985666275025,0.8748,3.6173999309539795
17,0.2768220899581909,0.8852,3.4653162956237793
18,0.2693324667930603,0.8928,3.246473789215088
19,0.31472407217025755,0.7592,3.545212507247925
20,0.4284256585121155,0.6706,3.62601900100708
21,0.4080528892993927,0.8656,3.6592581272125244
22,0.280157364153862,0.9208,3.666553258895874
23,0.24501964468955995,0.8274,3.386403799057007
24,0.27351256182193756,0.8888,3.6986241340637207
25,0.25376243672370913,0.9194,3.493619918823242
26,0.2450807994365692,0.8872,2.9536635875701904
27,0.24658042008876802,0.9094,2.958836078643799
28,0.22833609815835954,0.9278,2.9334018230438232
29,0.23685588154792786,0.905,3.3577499389648438
30,0.2369951233625412,0.8992,3.736116409301758
31,0.2547856228351593,0.8942,3.603877544403076
32,0.25751070482730865,0.9052,3.7298924922943115
33,0.25259496986866,0.9136,3.7455692291259766
34,0.22091112751960754,0.9146,3.7264244556427
35,0.23794048283100128,0.907,3.7278003692626953
36,0.26346040067672727,0.9154,3.553454637527466
37,0.25693338301181795,0.9086,3.286464214324951
38,0.29163685669898987,0.9198,3.550720453262329
39,0.27812690386772154,0.8496,3.718083143234253
40,0.3917756115913391,0.594,3.4312992095947266
41,0.46500986394882204,0.85,3.1831209659576416
42,0.342303795170784,0.8388,3.675557851791382
43,0.3429686970233917,0.799,3.289036512374878
44,0.31576739749908445,0.902,3.0075995922088623
45,0.3660461633682251,0.8784,3.0187857151031494
46,0.322003936958313,0.8878,2.9913201332092285
47,0.3677708016395569,0.8816,2.977678060531616
48,0.32094869728088377,0.7166,3.0060319900512695
49,0.369108788394928,0.8478,3.0238285064697266
50,0.4716282721996307,0.8278,2.989888906478882
